timestamp,user_text,predicted_label,confidence,user_correct_label,source,needs_review
2025-12-22T05:02:38.350139,my pc is very slow,PSU Upgrade,0.0983,,ml,False
2025-12-22T05:02:47.691389,pc is running slow,PSU Upgrade,0.0983,,ml,False
2025-12-22T05:02:57.014762,games stutter and lag,GPU Upgrade,0.0876,,ml,False
2025-12-22T05:03:12.103452,no internet,WiFi Adapter Upgrade,0.0829,,ml,False
2025-12-25T05:24:13.167737,no display,Display Cable Replacement,0.3085,,ml,False
2025-12-25T06:01:18.010226,fan speed is topo much,SSD Upgrade,0.0511,,ml,False
2025-12-25T06:01:38.025827,fan speed is too much,SSD Upgrade,0.0511,,ml,False
2025-12-25T06:04:03.051992,not printing,SSD Upgrade,0.0268,,ml,False
2025-12-25T06:05:42.843403,phone not connect,WiFi Adapter Upgrade,0.0820,,ml,False
2025-12-25T06:09:12.793771,usb not dtect,USB Hub Upgrade,0.3337,,ml,False
2025-12-25T06:10:00.536576,web cam is not work,SSD Upgrade,0.0268,,ml,False
2025-12-25T06:10:03.835947,web cam is not work,SSD Upgrade,0.0268,,ml,False
2025-12-25T06:13:09.473889,Processor too hot,SSD Upgrade,0.0268,,ml,False
2025-12-25T06:13:54.969942,Processor too hot,SSD Upgrade,0.0268,,ml,False
2025-12-25T06:18:09.132023,pc is too hot,CPU Cooler Upgrade,0.2982,,ml,False
2025-12-25T06:19:21.290439,lap camera nor working,WiFi Adapter Upgrade,0.0953,,ml,False
2025-12-25T06:19:28.234038,lap camera not working,WiFi Adapter Upgrade,0.0953,,ml,False
2025-12-25T06:19:59.392519,lap camera not working,WiFi Adapter Upgrade,0.0953,,ml,False
2025-12-25T06:27:37.293364,web cam not working,WiFi Adapter Upgrade,0.1382,,ml,False
2025-12-25T06:28:36.289343,web cam not working,WiFi Adapter Upgrade,0.1382,,ml,False
2025-12-25T06:29:05.363747,web cam is not working,WiFi Adapter Upgrade,0.1382,,ml,False
2025-12-25T06:29:34.018967,no display on monitor,Monitor or GPU Check,0.3732,,ml,False
2025-12-25T06:29:38.406313,no display on monitor,Monitor or GPU Check,0.3732,,ml,False
2025-12-25T06:29:41.269621,no display on monitor,Monitor or GPU Check,0.3732,,ml,False
2025-12-25T06:30:56.301535,im using zoom application not show my self vedio,SSD Upgrade,0.0602,,ml,False
2025-12-25T06:31:00.537186,im using zoom application not show my self vedio,SSD Upgrade,0.0602,,ml,False
2025-12-25T06:58:56.717863,Battery not holding charge,Laptop Battery Replacement,0.4342,,ml,False
2025-12-25T07:23:09.882874,the gpu too weak,GPU Cooler Upgrade,0.3784,,ml,False
2025-12-25T07:23:09.884369,my bsod error,Webcam Upgrade,0.2730,,ml,False
2025-12-25T07:23:09.885571,pc very unresponsive issue,Case Fan Upgrade,0.2372,,ml,False
2025-12-25T07:23:09.891724,pc pc stuck on logo,Monitor or GPU Check,0.4548,,ml,False
2025-12-25T07:23:09.893814,laptop monitor not detected,Monitor or GPU Check,0.3465,,ml,False
2025-12-25T07:23:09.895819,PC dead after rain and Boot failure and Screen black PC on,Monitor or GPU Check,0.4598,,ml,False
2025-12-25T07:23:09.896987,pc memory upgrade needed,SSD Upgrade,0.4210,,ml,False
2025-12-25T07:23:09.898123,my something wrong pc,CPU Upgrade,0.2254,,ml,False
2025-12-25T07:23:09.900155,laptop pc very unresponsive,RAM Upgrade,0.2283,,ml,False
2025-12-25T07:23:09.908352,pc usb connection issue,USB Hub,0.4210,,ml,False
2025-12-25T07:23:09.909664,phone not connecting issue,USB Hub,0.3520,,ml,False
2025-12-25T07:23:09.912516,phone not detected problem,Webcam Upgrade,0.3849,,ml,False
2025-12-25T07:23:09.917733,WiFi very slow PC USB cable issue,SSD Upgrade,0.4913,,ml,False
2025-12-25T07:23:09.919071,fix power button not working,PSU Upgrade,0.2939,,ml,False
2025-12-25T07:23:09.920832,pc stuck bios please,BIOS Battery Replacement,0.4012,,ml,False
2025-12-25T07:23:09.923221,my system slow,RAM Upgrade,0.4605,,ml,False
2025-12-25T07:23:09.924811,fix phone not recognized,Webcam Upgrade,0.2693,,ml,False
2025-12-25T07:23:09.926261,my pc beep sound,Audio Issue,0.3625,,ml,False
2025-12-25T07:23:09.927966,computer stop code error,WiFi Adapter Upgrade,0.3498,,ml,False
2025-12-25T07:23:09.929537,gpu cooling problem,GPU Upgrade,0.3726,,ml,False
2025-12-25T07:23:09.933879,help windows error screen,SSD Upgrade,0.2556,,ml,False
2025-12-25T07:23:09.936191,pc graphics card not detect,GPU Cooler Upgrade,0.4180,,ml,False
2025-12-25T07:23:09.939945,memory upgrade needed,SSD Upgrade,0.4115,,ml,False
2025-12-25T07:23:09.945443,computer pc not working,WiFi Adapter Upgrade,0.3568,,ml,False
2025-12-25T07:23:09.958121,PC dead after rain and Computer stuck booting,RAM Upgrade,0.3482,,ml,False
2025-12-25T07:23:09.960319,computer pc restart again and again,PSU Upgrade,0.3264,,ml,False
2025-12-25T07:23:09.966954,memory upgrade needed issue,SSD Upgrade,0.4041,,ml,False
2025-12-25T07:23:09.968831,computer cpu overheating,CPU Cooler Upgrade,0.4246,,ml,False
